date,AAPL,MSFT,JPM,V,RTX,PG,GS,NKE,DIS,AXP,HD,INTC,WMT,IBM,MRK,UNH,KO,CAT,TRV,JNJ,CVX,MCD,VZ,CSCO,XOM,BA,MMM,PFE,WBA,DD
2008-12-31,2.629544496536255,14.793869972229006,23.197927474975586,12.017438888549805,25.21848297119141,42.68461990356445,70.85460662841797,8.608676910400389,19.5383415222168,15.16303253173828,17.08559799194336,10.153308868408203,41.88468551635742,57.41565322875977,19.72871398925781,22.38201713562012,13.941606521606445,30.961801528930664,33.456592559814446,41.69410705566406,46.44225692749024,43.119571685791016,17.7989444732666,12.189656257629395,52.29804992675781,31.76057052612305,41.42687606811523,10.602845191955566,18.526948928833008,14.225616455078125
2009-01-02,2.795912981033325,15.471160888671875,23.34687423706055,12.24426555633545,25.853654861450195,43.36127853393555,72.84446716308594,8.956398010253906,20.597496032714844,15.800623893737793,17.909452438354492,10.527305603027344,42.72148132324219,59.60555648803711,20.118099212646484,23.21503257751465,14.135621070861815,32.51440048217773,33.456592559814446,42.26553726196289,48.04326248168945,44.20120620727539,18.18747901916504,12.683226585388185,53.48383331298828,33.68093490600586,42.61480712890625,10.938112258911133,19.18781852722168,14.527276039123535
2009-01-05,2.9139118194580083,15.61575698852539,21.78297996520996,12.331331253051758,25.547832489013672,43.05055618286133,74.54048156738281,9.020543098449707,20.2358341217041,16.30741310119629,18.33993530273437,10.32645034790039,42.22836685180664,59.23033905029297,19.813085556030273,22.83639335632324,13.993953704833984,31.939104080200195,32.96066665649414,41.847415924072266,48.13117980957031,44.0694694519043,17.053382873535153,12.795406341552734,53.47726821899414,34.36571502685547,42.11803436279297,10.872255325317383,20.156599044799805,14.18790054321289
2009-01-06,2.865849494934082,15.798391342163086,22.252140045166016,13.199700355529785,25.820714950561523,42.92628479003906,74.48171997070312,8.838242530822754,20.933319091796875,17.22292137145996,18.74814796447754,10.645045280456543,41.85479736328125,60.8745002746582,19.449657440185547,22.29787826538086,13.76914119720459,31.74501609802246,31.954015731811523,41.59653854370117,48.56440353393555,43.08491897583008,16.780364990234375,13.303929328918455,52.60596466064453,34.469924926757805,42.61480712890625,10.656726837158203,20.058963775634766,15.130617141723633
2009-01-07,2.8039233684539795,14.847140312194824,20.91909408569336,12.913299560546875,25.180843353271484,42.17366790771485,70.94696044921875,8.517525672912598,19.960283279418945,16.497394561767578,18.23601531982422,10.000940322875977,41.49617385864258,59.89208984375,19.13815689086914,22.129587173461914,13.836894989013672,30.26868057250977,30.68828010559082,41.20628356933594,46.43597030639648,42.46089553833008,16.993446350097653,12.952449798583984,51.26300048828125,33.316200256347656,41.808441162109375,10.4711332321167,20.299285888671875,15.158899307250975
2009-01-08,2.8559911251068115,15.31134796142578,20.271190643310547,12.775826454162598,25.176136016845703,41.7110481262207,71.71099853515625,8.674506187438965,19.71917533874512,16.522130966186527,18.102428436279297,10.077125549316406,38.38805770874024,59.4759407043457,19.05379295349121,22.474567413330078,13.932363510131836,30.51127815246582,31.25823402404785,41.12962341308594,46.611778259277344,41.9616813659668,17.254470825195312,13.11696720123291,51.81327819824219,33.338531494140625,42.175628662109375,10.566924095153807,20.156599044799805,14.90436840057373
2009-01-09,2.79067611694336,14.854745864868164,19.34029960632324,12.743749618530273,24.795040130615234,41.33130645751953,70.45997619628906,8.374046325683594,19.21112632751465,15.854317665100098,17.709056854248047,9.800089836120604,38.537498474121094,57.784034729003906,18.644929885864254,22.255807876586914,13.735264778137207,29.94290351867676,31.07318878173828,41.150535583496094,45.72023010253906,41.6496696472168,17.131950378417972,12.488791465759276,50.81750869750977,33.085464477539055,41.57086563110352,10.441201210021973,19.638416290283203,14.90436840057373
2009-01-12,2.73152232170105,14.816696166992188,18.55089569091797,12.134288787841795,24.63507461547852,41.38653564453125,65.21242523193361,8.46013355255127,18.82362937927246,15.524539947509766,17.04848861694336,9.550760269165039,38.3955307006836,58.47308731079102,18.49567031860352,21.557416915893555,13.467334747314453,28.549734115600586,30.370004653930664,40.65575408935547,44.46451187133789,41.71206665039063,16.934846878051758,12.26443862915039,50.142738342285156,32.556983947753906,41.09567642211914,10.393305778503418,19.45066261291504,14.857236862182615
2009-01-13,2.7022533416748047,15.083047866821287,19.623292922973636,12.175525665283205,23.90110206604004,41.06201934814453,65.42231750488281,8.355480194091799,18.25530815124512,15.656454086303713,16.707077026367188,9.467646598815918,38.94095230102539,58.22064971923828,18.45673370361328,21.33864402770996,13.556646347045898,28.69529914855957,30.93254852294922,41.00418090820313,45.092369079589844,41.129661560058594,16.780366897583008,12.301830291748047,51.04678344726562,31.6042423248291,40.49810409545898,10.531005859375,19.578338623046875,14.659265518188475
2009-01-14,2.628928899765014,14.52751636505127,19.295618057250977,11.678335189819336,23.5388126373291,39.95036315917969,63.54999923706055,7.874405384063722,17.910865783691406,14.700084686279295,16.261754989624027,9.059021949768066,38.522560119628906,56.75389099121094,18.054372787475586,20.261621475219727,13.125493049621582,27.27438163757324,29.60761260986328,40.38397216796875,43.75505447387695,39.74988555908203,16.27961540222168,11.77087116241455,49.19935607910156,30.666393280029297,39.62694549560547,10.321462631225586,19.630903244018555,14.244468688964846
